,source,postcode,house_is,property_subtype,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,facades_number,swimming_pool_has,region,building_state_agg,price_m_by_postcode,latitude,longitude
2,6,4020,True,APARTMENT_BLOCK,250000.0,5.0,303.0,True,False,False,False,0.0,False,0.0,760.0,,False,W,to_renovate,120694.32,50.65,5.57
7,6,1150,True,APARTMENT_BLOCK,650000.0,4.0,200.0,True,False,False,True,4.0,True,150.0,301.0,,False,B,good,275544.13,50.83,4.44
10,6,9600,True,APARTMENT_BLOCK,389000.0,6.0,255.0,True,False,False,True,22.0,False,0.0,205.0,,False,F,good,136832.46,50.75,3.6
11,6,1030,True,APARTMENT_BLOCK,399000.0,3.0,137.0,True,False,False,True,10.0,False,0.0,195.0,,False,B,to_renovate,175825.22,50.87,4.37
12,6,4500,True,APARTMENT_BLOCK,425000.0,5.0,400.0,True,False,False,True,0.0,True,366.0,603.0,,False,W,good,131629.41,50.52,5.24
13,6,1200,True,APARTMENT_BLOCK,1750000.0,7.0,550.0,True,False,False,True,20.0,True,60.0,270.0,,False,B,good,242944.1,50.85,4.43
18,6,1140,True,APARTMENT_BLOCK,695000.0,7.0,257.0,False,False,False,False,0.0,False,0.0,350.0,,False,B,to_renovate,167132.84,50.87,4.4
22,6,4020,True,APARTMENT_BLOCK,280000.0,8.0,180.0,True,False,False,False,0.0,True,55.0,120.0,,False,W,to_renovate,120694.32,50.65,5.57
28,6,1030,True,APARTMENT_BLOCK,520000.0,8.0,360.0,True,False,False,True,15.0,True,65.0,147.0,,False,B,to_renovate,175825.22,50.87,4.37
29,6,1090,True,APARTMENT_BLOCK,749000.0,8.0,350.0,True,False,False,True,37.0,True,138.0,235.0,,False,B,good,151906.67,50.88,4.33
30,6,1050,True,APARTMENT_BLOCK,2300000.0,5.0,500.0,True,False,False,True,8.0,True,130.0,258.0,,False,B,to_renovate,245049.04,50.82,4.38
34,6,1150,True,APARTMENT_BLOCK,925000.0,3.0,220.0,True,False,False,True,22.0,True,113.0,240.0,,False,B,good,275544.13,50.83,4.44
38,6,9170,True,APARTMENT_BLOCK,399000.0,4.0,315.0,True,False,False,False,0.0,False,0.0,145.0,,False,F,good,115729.1,51.22,4.12
41,6,4300,True,APARTMENT_BLOCK,375000.0,4.0,200.0,True,False,False,False,0.0,True,200.0,345.0,,False,W,good,147912.36,50.7,5.25
42,6,8370,True,APARTMENT_BLOCK,250000.0,4.0,226.0,True,False,False,True,8.0,False,0.0,97.0,,False,F,renovated,160565.23,51.32,3.13
49,6,4500,True,APARTMENT_BLOCK,225000.0,6.0,380.0,True,False,False,True,105.0,True,2500.0,2897.0,,False,W,to_renovate,131629.41,50.52,5.24
59,6,1300,True,APARTMENT_BLOCK,1250000.0,11.0,520.0,True,True,False,True,0.0,True,5500.0,5500.0,,True,W,renovated,185376.33,50.72,4.61
63,6,1030,True,APARTMENT_BLOCK,940000.0,6.0,240.0,True,False,False,False,0.0,False,0.0,335.0,,False,B,good,175825.22,50.87,4.37
68,6,1200,True,APARTMENT_BLOCK,550000.0,3.0,160.0,False,False,False,True,4.0,True,44.0,0.0,,False,B,good,242944.1,50.85,4.43
70,6,1000,True,APARTMENT_BLOCK,3500000.0,10.0,850.0,True,True,False,False,0.0,False,0.0,230.0,,False,B,good,188165.24,50.85,4.35
73,6,8450,True,APARTMENT_BLOCK,399000.0,5.0,237.0,True,False,False,False,0.0,False,0.0,205.0,,False,F,good,151250.0,51.24,2.97
76,6,1950,True,APARTMENT_BLOCK,725000.0,7.0,230.0,True,False,False,True,21.0,False,0.0,364.0,,False,F,renovated,240401.52,50.86,4.47
87,6,1180,True,APARTMENT_BLOCK,785000.0,5.0,184.0,True,False,False,True,25.0,True,143.0,230.0,,False,B,to_renovate,235984.43,50.8,4.34
88,6,3020,True,APARTMENT_BLOCK,1285000.0,10.0,425.0,True,False,False,True,9.0,False,0.0,637.0,,False,F,to_renovate,244188.4,50.91,4.67
98,6,1000,True,APARTMENT_BLOCK,1350000.0,7.0,400.0,True,False,False,True,75.0,False,0.0,206.0,,False,B,to_renovate,188165.24,50.85,4.35
115,6,1180,True,APARTMENT_BLOCK,495000.0,5.0,166.0,True,False,False,True,80.0,True,100.0,154.0,,False,B,good,235984.43,50.8,4.34
118,6,1050,True,APARTMENT_BLOCK,490000.0,4.0,160.0,False,False,False,False,0.0,False,0.0,60.0,,False,B,to_renovate,245049.04,50.82,4.38
120,6,1040,True,APARTMENT_BLOCK,785000.0,6.0,233.0,True,False,False,True,7.0,False,0.0,72.0,,True,B,to_renovate,209908.71,50.84,4.39
124,6,1435,True,APARTMENT_BLOCK,275000.0,1.0,115.0,True,False,False,True,0.0,False,0.0,153.0,,False,W,good,156130.12,50.64,4.61
127,6,1000,True,APARTMENT_BLOCK,735000.0,4.0,272.0,True,False,False,True,32.0,True,16.0,81.0,,False,B,renovated,188165.24,50.85,4.35
128,6,1030,True,APARTMENT_BLOCK,5500000.0,44.0,6330.0,True,False,False,True,10.0,False,0.0,2000.0,,False,B,good,175825.22,50.87,4.37
140,6,1080,True,APARTMENT_BLOCK,435000.0,4.0,204.0,True,False,False,False,0.0,False,0.0,120.0,,False,B,good,155348.19,50.85,4.32
144,6,1160,True,APARTMENT_BLOCK,925000.0,9.0,300.0,True,True,True,True,20.0,True,65.0,125.0,,False,B,renovated,218779.22,50.82,4.43
147,6,5590,True,APARTMENT_BLOCK,415000.0,5.0,263.0,True,False,False,False,0.0,False,0.0,154.0,,False,W,to_renovate,131724.91,50.29,5.1
148,6,1000,True,APARTMENT_BLOCK,1350000.0,10.0,540.0,True,False,False,True,60.0,False,0.0,0.0,,False,B,to_renovate,188165.24,50.85,4.35
150,6,9900,True,APARTMENT_BLOCK,450000.0,6.0,280.0,False,False,False,True,0.0,False,0.0,589.0,,False,F,to_renovate,167919.26,51.18,3.57
152,6,1090,True,APARTMENT_BLOCK,700000.0,8.0,300.0,True,False,False,True,0.0,False,0.0,104.0,,False,B,to_renovate,151906.67,50.88,4.33
162,6,1140,True,APARTMENT_BLOCK,795000.0,7.0,325.0,False,False,False,True,0.0,True,40.0,152.0,,False,B,to_renovate,167132.84,50.87,4.4
175,6,1000,True,APARTMENT_BLOCK,695000.0,4.0,180.0,True,False,False,True,3.0,False,0.0,0.0,,False,B,good,188165.24,50.85,4.35
181,6,8530,True,APARTMENT_BLOCK,228000.0,2.0,99.0,False,False,False,False,0.0,False,0.0,33857.0,,False,F,good,150946.71,50.83,3.34
182,6,1150,True,APARTMENT_BLOCK,1880000.0,7.0,450.0,True,False,True,True,93.0,True,562.0,0.0,,False,B,good,275544.13,50.83,4.44
183,6,4800,True,APARTMENT_BLOCK,195000.0,5.0,165.0,True,False,False,True,40.0,True,80.0,250.0,,False,W,to_renovate,119708.89,50.59,5.86
190,6,4500,True,APARTMENT_BLOCK,199500.0,2.0,350.0,True,False,False,True,0.0,False,0.0,287.0,,False,W,good,131629.41,50.52,5.24
199,6,1180,True,APARTMENT_BLOCK,750000.0,3.0,220.0,True,False,False,False,0.0,False,0.0,290.0,,False,B,good,235984.43,50.8,4.34
200,6,1200,True,APARTMENT_BLOCK,775000.0,5.0,220.0,False,False,False,True,40.0,False,0.0,185.0,,False,B,good,242944.1,50.85,4.43
201,6,1000,True,APARTMENT_BLOCK,1150000.0,4.0,230.0,False,True,False,False,0.0,False,0.0,0.0,,False,B,good,188165.24,50.85,4.35
208,6,4000,True,APARTMENT_BLOCK,950000.0,14.0,600.0,True,False,False,True,0.0,False,0.0,0.0,,False,W,renovated,120694.32,50.65,5.57
223,6,5000,True,APARTMENT_BLOCK,295000.0,7.0,250.0,True,False,False,True,0.0,True,195.0,380.0,,False,W,good,151615.67,50.46,4.85
228,6,1170,True,APARTMENT_BLOCK,1795000.0,9.0,603.0,False,False,False,True,35.0,True,241.0,504.0,,False,B,good,214295.23,50.8,4.42
235,6,1070,True,APARTMENT_BLOCK,399000.0,5.0,240.0,True,False,False,False,0.0,False,0.0,0.0,,False,B,to_renovate,138887.74,50.84,4.31
236,6,3620,True,APARTMENT_BLOCK,264000.0,2.0,108.0,True,True,False,False,0.0,False,0.0,108.0,,False,F,good,163237.25,50.89,5.65
238,6,9600,True,APARTMENT_BLOCK,900000.0,10.0,461.0,True,False,False,False,0.0,False,0.0,690.0,,False,F,good,136832.46,50.75,3.6
239,6,7130,True,APARTMENT_BLOCK,140000.0,2.0,162.0,True,False,False,True,0.0,False,0.0,90.0,,False,W,good,121123.12,50.41,4.17
243,6,4800,True,APARTMENT_BLOCK,212500.0,7.0,196.0,True,False,False,False,0.0,False,0.0,60.0,,False,W,good,119708.89,50.59,5.86
244,6,4000,True,APARTMENT_BLOCK,229000.0,2.0,202.0,True,False,False,False,0.0,False,0.0,75.0,,False,W,good,120694.32,50.65,5.57
248,6,7130,True,APARTMENT_BLOCK,270000.0,4.0,262.0,True,False,False,True,0.0,False,0.0,214.0,,False,W,good,121123.12,50.41,4.17
249,6,5060,True,APARTMENT_BLOCK,275000.0,4.0,240.0,True,False,False,False,0.0,False,0.0,250.0,,False,W,to_renovate,116802.85,50.44,4.62
258,6,8370,True,APARTMENT_BLOCK,860000.0,5.0,252.0,True,False,False,True,0.0,True,100.0,204.0,,False,F,renovated,160565.23,51.32,3.13
265,6,1000,True,APARTMENT_BLOCK,995000.0,5.0,330.0,True,True,False,True,10.0,False,0.0,178.0,,False,B,good,188165.24,50.85,4.35
268,6,1200,True,APARTMENT_BLOCK,1500000.0,10.0,600.0,True,False,False,True,20.0,True,250.0,700.0,,False,B,good,242944.1,50.85,4.43
270,6,4000,True,APARTMENT_BLOCK,215000.0,4.0,168.0,False,False,False,True,50.0,False,0.0,120.0,,False,W,good,120694.32,50.65,5.57
271,6,1070,True,APARTMENT_BLOCK,365000.0,4.0,145.0,False,False,False,False,0.0,False,0.0,40.0,,False,B,good,138887.74,50.84,4.31
272,6,1080,True,APARTMENT_BLOCK,429000.0,4.0,202.0,True,False,False,True,0.0,True,22.0,93.0,,False,B,good,155348.19,50.85,4.32
273,6,4800,True,APARTMENT_BLOCK,575000.0,10.0,500.0,True,False,False,False,0.0,False,0.0,216.0,,False,W,renovated,119708.89,50.59,5.86
275,6,1050,True,APARTMENT_BLOCK,1390000.0,5.0,390.0,True,False,False,True,50.0,False,0.0,0.0,,False,B,good,245049.04,50.82,4.38
283,6,4000,True,APARTMENT_BLOCK,259000.0,4.0,190.0,True,False,False,True,0.0,False,0.0,577.0,,False,W,good,120694.32,50.65,5.57
296,6,5300,True,APARTMENT_BLOCK,340000.0,3.0,195.0,True,False,False,True,12.0,False,0.0,151.0,,False,W,good,135774.22,50.49,5.1
298,6,1435,True,APARTMENT_BLOCK,395000.0,3.0,180.0,True,False,False,True,74.0,False,0.0,575.0,,False,W,good,156130.12,50.64,4.61
301,6,1050,True,APARTMENT_BLOCK,800000.0,4.0,415.0,True,False,False,False,0.0,False,0.0,162.0,,False,B,to_renovate,245049.04,50.82,4.38
302,6,1070,True,APARTMENT_BLOCK,1300000.0,9.0,400.0,True,False,False,False,0.0,False,0.0,125.0,,False,B,good,138887.74,50.84,4.31
303,6,1050,True,APARTMENT_BLOCK,2200000.0,7.0,520.0,True,False,False,True,0.0,True,220.0,364.0,,False,B,good,245049.04,50.82,4.38
305,6,1480,True,APARTMENT_BLOCK,560000.0,6.0,500.0,True,False,False,True,80.0,True,1543.0,1543.0,,False,W,good,158399.23,50.69,4.2
307,6,2650,True,APARTMENT_BLOCK,469000.0,4.0,265.0,False,False,False,False,0.0,False,0.0,210.0,,False,F,good,171494.01,51.16,4.44
315,6,7130,True,APARTMENT_BLOCK,275000.0,4.0,190.0,True,False,False,False,0.0,False,0.0,74.0,,False,W,good,121123.12,50.41,4.17
316,6,4800,True,APARTMENT_BLOCK,100000.0,3.0,141.0,False,False,False,False,0.0,False,0.0,170.0,,False,W,to_renovate,119708.89,50.59,5.86
321,6,9400,True,APARTMENT_BLOCK,649000.0,6.0,504.0,True,False,False,True,14.0,False,0.0,0.0,,False,F,good,187750.2,50.84,4.02
322,6,1080,True,APARTMENT_BLOCK,650000.0,6.0,456.0,True,False,False,True,0.0,False,0.0,0.0,,False,B,to_renovate,155348.19,50.85,4.32
329,6,6220,True,APARTMENT_BLOCK,149000.0,0.0,150.0,True,False,False,False,0.0,False,0.0,0.0,,False,W,good,91631.6,50.47,4.54
333,6,4000,True,APARTMENT_BLOCK,745000.0,6.0,436.0,True,False,False,False,0.0,False,0.0,4362.0,,False,W,good,120694.32,50.65,5.57
335,6,6220,True,APARTMENT_BLOCK,170000.0,0.0,270.0,True,False,False,False,0.0,False,0.0,0.0,,False,W,to_renovate,91631.6,50.47,4.54
338,6,1470,True,APARTMENT_BLOCK,375000.0,6.0,250.0,True,False,False,True,80.0,False,0.0,308.0,,False,W,good,28577.59,50.61,4.45
342,6,1000,True,APARTMENT_BLOCK,999000.0,3.0,112.0,True,True,False,False,0.0,False,0.0,35.0,,False,B,good,188165.24,50.85,4.35
343,6,1200,True,APARTMENT_BLOCK,1195000.0,5.0,302.0,True,False,False,True,10.0,False,0.0,0.0,,False,B,good,242944.1,50.85,4.43
350,6,2560,True,APARTMENT_BLOCK,1320000.0,12.0,464.0,True,False,False,True,0.0,False,0.0,642.0,,False,F,renovated,185509.32,51.16,4.67
351,6,4500,True,APARTMENT_BLOCK,195000.0,3.0,264.0,True,True,False,False,0.0,False,0.0,88.0,,False,W,to_renovate,131629.41,50.52,5.24
357,6,1180,True,APARTMENT_BLOCK,3650000.0,3.0,1260.0,True,False,False,True,0.0,False,0.0,820.0,,False,B,good,235984.43,50.8,4.34
362,6,1180,True,APARTMENT_BLOCK,3700000.0,0.0,1790.0,False,False,False,False,0.0,False,0.0,0.0,,False,B,good,235984.43,50.8,4.34
366,6,5000,True,APARTMENT_BLOCK,650000.0,12.0,254.0,True,False,False,False,0.0,False,0.0,0.0,,False,W,good,151615.67,50.46,4.85
370,6,6700,True,APARTMENT_BLOCK,390000.0,3.0,162.0,True,False,False,False,0.0,False,0.0,0.0,,False,W,good,154647.7,49.68,5.81
375,6,1030,True,APARTMENT_BLOCK,693000.0,3.0,245.0,False,False,False,False,0.0,False,0.0,0.0,,False,B,good,175825.22,50.87,4.37
381,6,1070,True,APARTMENT_BLOCK,530000.0,6.0,297.0,True,False,False,False,0.0,True,80.0,193.0,,False,B,to_renovate,138887.74,50.84,4.31
382,6,1080,True,APARTMENT_BLOCK,1490000.0,10.0,700.0,False,False,False,True,0.0,False,0.0,0.0,,False,B,good,155348.19,50.85,4.32
387,6,1480,True,APARTMENT_BLOCK,575000.0,24.0,850.0,True,False,False,True,80.0,False,0.0,500.0,,False,W,good,158399.23,50.69,4.2
389,6,9060,True,APARTMENT_BLOCK,950000.0,12.0,510.0,False,False,False,False,0.0,False,0.0,400.0,,False,F,good,134479.76,51.2,3.81
391,6,1030,True,APARTMENT_BLOCK,395000.0,4.0,200.0,False,False,False,True,10.0,True,130.0,220.0,,False,B,to_renovate,175825.22,50.87,4.37
392,6,1060,True,APARTMENT_BLOCK,2950000.0,9.0,700.0,True,False,False,True,60.0,True,60.0,240.0,,False,B,good,182463.35,50.83,4.35
398,6,1050,True,APARTMENT_BLOCK,985000.0,5.0,275.0,True,False,False,True,14.0,False,0.0,108.0,,False,B,good,245049.04,50.82,4.38
400,6,1000,True,APARTMENT_BLOCK,1975000.0,10.0,716.0,True,True,False,True,15.0,False,0.0,0.0,,False,B,good,188165.24,50.85,4.35
404,6,9280,True,APARTMENT_BLOCK,580000.0,5.0,200.0,False,False,False,True,0.0,False,0.0,370.0,,False,F,good,158971.31,51.0,4.13
412,6,3090,True,APARTMENT_BLOCK,3540000.0,2.0,227.0,True,False,False,True,0.0,False,0.0,585.0,,False,F,good,210530.46,50.77,4.54
421,6,1030,True,APARTMENT_BLOCK,523000.0,3.0,189.0,False,False,False,False,0.0,False,0.0,0.0,,False,B,good,175825.22,50.87,4.37
444,6,6180,True,APARTMENT_BLOCK,450000.0,10.0,400.0,True,False,False,True,0.0,False,0.0,1100.0,,False,W,good,83617.1,50.46,4.38
446,6,1050,True,APARTMENT_BLOCK,765000.0,5.0,185.0,True,False,False,False,0.0,False,0.0,77.0,,False,B,to_renovate,245049.04,50.82,4.38
451,6,6000,True,APARTMENT_BLOCK,328000.0,10.0,900.0,True,False,False,False,0.0,False,0.0,0.0,,False,W,to_renovate,88085.67,50.42,4.45
456,6,1070,True,APARTMENT_BLOCK,519000.0,4.0,190.0,True,False,False,True,49.0,False,0.0,0.0,,False,B,good,138887.74,50.84,4.31
457,6,1030,True,APARTMENT_BLOCK,818000.0,5.0,305.0,False,False,False,False,0.0,False,0.0,0.0,,False,B,good,175825.22,50.87,4.37
460,6,1030,True,APARTMENT_BLOCK,750000.0,7.0,425.0,True,False,False,False,0.0,False,0.0,378.0,,False,B,good,175825.22,50.87,4.37
461,6,1000,True,APARTMENT_BLOCK,1375000.0,12.0,580.0,False,False,False,False,0.0,False,0.0,150.0,,False,B,to_renovate,188165.24,50.85,4.35
464,6,2880,True,APARTMENT_BLOCK,165000.0,2.0,105.0,False,False,False,True,0.0,False,0.0,0.0,,False,F,good,212017.64,51.09,4.24
465,6,4400,True,APARTMENT_BLOCK,329000.0,6.0,273.0,True,False,False,False,0.0,True,400.0,638.0,,False,W,to_renovate,62511.03,50.6,5.46
472,6,9260,True,APARTMENT_BLOCK,1050000.0,10.0,526.0,True,False,False,True,0.0,False,0.0,817.0,,False,F,good,62936.94,51.0,3.98
484,6,4020,True,APARTMENT_BLOCK,630000.0,16.0,475.0,False,False,False,True,2.0,False,0.0,98.0,,False,W,to_renovate,120694.32,50.65,5.57
485,6,1180,True,APARTMENT_BLOCK,945000.0,7.0,380.0,True,False,False,True,23.0,True,200.0,393.0,,False,B,to_renovate,235984.43,50.8,4.34
493,6,1060,True,APARTMENT_BLOCK,990000.0,10.0,580.0,False,False,False,False,0.0,False,0.0,140.0,,False,B,to_renovate,182463.35,50.83,4.35
505,6,1000,True,APARTMENT_BLOCK,2450000.0,0.0,630.0,True,False,False,False,0.0,False,0.0,0.0,,False,B,good,188165.24,50.85,4.35
506,6,4800,True,APARTMENT_BLOCK,149000.0,2.0,234.0,False,False,False,False,0.0,False,0.0,81.0,,False,W,to_renovate,119708.89,50.59,5.86
510,6,9230,True,APARTMENT_BLOCK,745000.0,5.0,217.0,True,False,False,True,0.0,False,0.0,266.0,,False,F,good,168428.99,51.01,3.89
511,6,1070,True,APARTMENT_BLOCK,1950000.0,15.0,985.0,True,False,False,False,0.0,False,0.0,380.0,,False,B,good,138887.74,50.84,4.31
512,6,6000,True,APARTMENT_BLOCK,325000.0,3.0,61.0,True,False,False,False,0.0,False,0.0,0.0,,False,W,good,88085.67,50.42,4.45
519,6,1600,True,APARTMENT_BLOCK,280000.0,2.0,138.0,True,False,False,False,0.0,False,0.0,185.0,,False,F,good,172337.54,50.78,4.25
